AB型血	AB型血 🆎️
苗	苗 🌱
茄	茄 🍆
茶	茶 🍵
草	草 🌿
药	药 💊
莲	莲 🪷
菊	菊 🌼
菌	菌 🍄
菜	菜 🥬
菸	菸 🚬
蒜	蒜 🧄
蓝	蓝 🟦
蓮	蓮 🪷
藍	藍 🟦
藥	藥 💊
藻	藻 🦠
虎	虎 🐅
虹	虹 🌈
虺	虺 🐍
虾	虾 🦐
蚁	蚁 🐜
蚊	蚊 🦟
蚝	蚝 🦪
蛇	蛇 🐍
蛋	蛋 🥚
蛔	蛔 🪱
蛙	蛙 🐸
蛸	蛸 🐙
蜂	蜂 🐝
蜗	蜗 🐌
蜜	蜜 🍯
蜥	蜥 🦎
蝇	蝇 🪰
蝎	蝎 🦂
蝠	蝠 🦇
蝦	蝦 🦐
蝶	蝶 🦋
蝸	蝸 🐌
螺	螺 🐚
蟹	蟹 🦀
蟻	蟻 🐜
蠅	蠅 🪰
蠍	蠍 🦂
蠔	蠔 🦪
蠕	蠕 🪱
蠢	蠢 🐷
血	血 🩸
袜	袜 🧦
裙	裙 👗
裤	裤 👖
褲	褲 👖
襪	襪 🧦
親	親 😘
誒	誒 🤨
诶	诶 🤨
豆	豆 🫘
豕	豕 🐖
象	象 🐘
豬	豬 🐖
豸	豸 🐈
豹	豹 🐆
貂	貂 🦡
貓	貓 🐈
貝	貝 🐚
貨	貨 🚚
贝	贝 🐚
货	货 🚚
赤	赤 🟥
跌	跌 📉
車	車 🚗
輪	輪 🛞
车	车 🚗
轮	轮 🛞
鉤	鉤 🪝
鋸	鋸 🪚
鎖	鎖 🔒
鎚	鎚 🔨
鏡	鏡 🪞
钩	钩 🪝
锁	锁 🔒
锤	锤 🔨
锯	锯 🪚
镜	镜 🪞
門	門 🚪
门	门 🚪
除	除 ➗
雞	雞 🐓
青	青 🟦
靠	靠 😧
面	面 🍜
靴	靴 👢
風	風 💨
风	风 💨
餃	餃 🥟
餅	餅 🫓
餌	餌 🪤
饢	饢 🥙
饵	饵 🪤
饺	饺 🥟
饼	饼 🫓
馕	馕 🥙
馬	馬 🐎
驛	驛 🚉
马	马 🐎
驿	驿 🚉
骨	骨 🦴
鬼	鬼 👻
魂	魂 👻
鮨	鮨 🍣
鯊	鯊 🦈
鯨	鯨 🐋
鰂	鰂 🦑
鱡	鱡 🦑
鱷	鱷 🐊
鲗	鲗 🦑
鲨	鲨 🦈
鲸	鲸 🐋
鳄	鳄 🐊
鴞	鴞 🦉
鴨	鴨 🦆
鵝	鵝 🦢
鷹	鷹 🦅
鸡	鸡 🐓
鸭	鸭 🦆
鸮	鸮 🦉
鹅	鹅 🦢
鹰	鹰 🦅
鹽	鹽 🧂
鹿	鹿 🦌
麵	麵 🍜
黃	黃 🟨
黄	黄 🟨
鼔	鼔 🥁
鼠	鼠 🐀
齒	齒 🦷
齿	齿 🦷
龍	龍 🐉
龙	龙 🐉
龜	龜 🐢
龟	龟 🐢
𨋢	𨋢 🛗
𪠳	𪠳 🤪
𪡃	𪡃 😟
𫙠	𫙠 🐬
吻	吻 💋 😘
哇	哇 😃 😯
哈	哈 😄 😸
喔	喔 😮 😶
嗯	嗯 😶 🤨
噢	噢 😐 😮
囧	囧 😅 😰
巢	巢 🪹 🪺
惨	惨 😦 😫
慘	慘 😦 😫
树	树 🌲 🌳
椅	椅 💺 🪑
樹	樹 🌲 🌳
滚	滚 😛 🤬
滾	滾 😛 🤬
狗	狗 🐕 🐩
笑	笑 😄 😸
羞	羞 😚 🙈
萌	萌 💠 😊
裇	裇 👕 👚
針	針 💉 🪡
錢	錢 💰 🪙
针	针 💉 🪡
钱	钱 💰 🪙
饞	饞 😋 🤤
馋	馋 😋 🤤
鼬	鼬 🦡 🦨
呃	呃 😢 😿 🤪
哼	哼 😤 😾 🙄
困	困 😞 😴 🥱
睏	睏 😞 😴 🥱
羊	羊 🐏 🐐 🐑
这	这 😢 😥 😿
這	這 😢 😥 😿
額	額 😢 😥 😿
额	额 😢 😥 😿
啊	啊 😢 😥 😿 🤨
汗	汗 😓 😢 😥 😿
牛	牛 🐂 🐃 🐄 🦬
雾	雾 🌁 🌫️
霧	霧 🌁 🌫️
勾	勾 ✅ ✔️ 🪝
唉	唉 😪 😮‍💨
上	上 ⬆️
下	下 ⬇️
不	不 🙅🏻
乘	乘 ✖️
云	云 ☁️
仔	仔 🧒🏻
企	企 🧍🏻
你	你 🫵🏻
信	信 ✉️
停	停 ⛔️
儿	儿 👦🏻
兒	兒 👦🏻
前	前 ⬆️
剑	剑 ⚔️
剪	剪 ✂️
割	割 🈹️
劍	劍 ⚔️
可	可 🉑️
合	合 🈴️
后	后 ⬇️
吹	吹 🌬️
唵	唵 🕉️
喊	喊 🗣️
営	営 🈺️
坞	坞 ⚓️
塢	塢 ⚓️
妃	妃 👸🏻
妈	妈 👩🏻
娃	娃 👶🏻
婗	婗 👧🏻
婴	婴 👶🏻
媽	媽 👩🏻
嬰	嬰 👶🏻
山	山 ⛰️
岛	岛 🏝️
島	島 🏝️
差	差 👎🏻
帆	帆 ⛵️
床	床 🛏️
後	後 ⬇️
手	手 ✋🏻
托	托 🫴🏻
抓	抓 🫳🏻
拳	拳 👊🏻
捏	捏 🤏🏻
捧	捧 🤲🏻
掬	掬 🤲🏻
撮	撮 🤌🏻
新	新 🆕️
无	无 🈚️
星	星 ⭐️
晴	晴 ☀️
有	有 🈶️
棺	棺 ⚰️
母	母 👩🏻
比	比 🆚️
洞	洞 🕳️
満	満 🈵️
满	满 🈵️
滿	滿 🈵️
烂	烂 👎🏻
無	無 🈚️
營	營 🈺️
爛	爛 👎🏻
爪	爪 🫳🏻
父	父 👨🏻
爸	爸 👨🏻
爽	爽 ☺️
牀	牀 🛏️
王	王 🫅🏻
申	申 🈸️
电	电 ⚡️
白	白 ⬜️
目	目 👁️
盯	盯 👁️
盾	盾 🛡️
眼	眼 👁️
祝	祝 ㊗️
禁	禁 🈲️
秘	秘 ㊙️
秤	秤 ⚖️
稍	稍 🤌🏻
空	空 🈳️
站	站 🧍🏻
签	签 🏷️
籤	籤 🏷️
網	網 🕸️
网	网 🕸️
老	老 🧓🏻
耳	耳 👂🏻
聋	聋 🧏🏻
聾	聾 🧏🏻
肌	肌 💪🏻
胡	胡 🧔🏻
胫	胫 🦵🏻
脚	脚 🦶🏻
脛	脛 🦵🏻
腳	腳 🦶🏻
腿	腿 🦵🏻
舞	舞 💃🏻
营	营 🈺️
蛛	蛛 🕷️
表	表 ⌚️
請	請 💁🏻
讚	讚 👍🏻
请	请 💁🏻
赞	赞 👍🏻
走	走 🚶🏻
足	足 🦶🏻
跑	跑 🏃🏻
跪	跪 🧎🏻
踩	踩 👎🏻
辣	辣 🌶️
鈴	鈴 🛎️
錨	錨 ⚓️
錶	錶 ⌚️
鎬	鎬 ⛏️
铃	铃 🛎️
锚	锚 ⚓️
镐	镐 ⛏️
阴	阴 🌥️
陰	陰 🌥️
雨	雨 🌧️
雲	雲 ☁️
雷	雷 🌩️
電	電 ⚡️
霾	霾 🌫️
頂	頂 👍🏻
顶	顶 👍🏻
须	须 🧔🏻
髯	髯 🧔🏻
鬍	鬍 🧔🏻
鬚	鬚 🧔🏻
鴿	鴿 🕊️
鸽	鸽 🕊️
黑	黑 ⬛️
鼻	鼻 👃🏻
冷	冷 ❄️ 🥶
坟	坟 ⚰️ 🪦
墳	墳 ⚰️ 🪦
好	好 🆗️ 🙂
月	月 🈷️ 🌝
涨	涨 🆙️ 📈
漲	漲 🆙️ 📈
酷	酷 🆒️ 😎
麥	麥 🎙️ 🎤
麦	麦 🎙️ 🎤
棒	棒 👍🏻 💯 🤩
热	热 ☀️ 🔥 🥵 🫠
熱	熱 ☀️ 🔥 🥵 🫠
右	右 ➡️ 🫱🏻
左	左 ⬅️ 🫲🏻
得	得 🉐️ 👌🏻
指	指 🈯️ 🫵🏻
行	行 🆗️ 👌🏻 😎
㖿	㖿 ✌🏻️
写	写 ✍🏻️
哎	哎 😮‍💨
寫	寫 ✍🏻️
耶	耶 ✌🏻️
难	难 😵‍💫
難	難 😵‍💫
愛	愛 ❤️️ 🥰
晕	晕 😵‍💫 🥴
暈	暈 😵‍💫 🥴
爱	爱 ❤️️ 🥰
盲	盲 🧑🏻‍🦯
禿	禿 🧑🏻‍🦲
秃	秃 🧑🏻‍🦲
跛	跛 🧑🏻‍🦼 🧑🏻‍🦽
妻	妻 👰🏻‍♀️
唱K	唱K 🪩
版权	版权 ©️
版權	版權 ©️
㞎㞎	㞎㞎 💩
㡌子	㡌子 🧢
䲡鱼	䲡鱼 🦑
一人	一人 👤
一点	一点 🕐
一點	一點 🕐
七夕	七夕 🎋
七点	七点 🕖
七點	七點 🕖
三点	三点 🕒
三點	三點 🕒
上鎖	上鎖 🔒
上锁	上锁 🔒
不会	不会 😝
不准	不准 🚫
不听	不听 🙉
不哭	不哭 🤗
不得	不得 🚫
不會	不會 😝
不看	不看 😣
不聽	不聽 🙉
不要	不要 😣
不見	不見 😣
不见	不见 😣
不講	不講 🤐
不讲	不讲 🤐
不錯	不錯 😎
不错	不错 😎
世界	世界 🌐
东京	东京 🗻
両替	両替 💱
两人	两人 👥
两点	两点 🕑
中学	中学 🏫
中學	中學 🏫
丰收	丰收 🎑
串烧	串烧 🍢
串燒	串燒 🍢
丸子	丸子 🍡
为何	为何 🤔
为啥	为啥 🤔
主意	主意 💭
乌鱡	乌鱡 🦑
乌龟	乌龟 🐢
乐曲	乐曲 🎼
乒乓	乒乓 🏓
九点	九点 🕘
九點	九點 🕘
习题	习题 📖
书包	书包 🎒
书本	书本 📖
乱噏	乱噏 🤥
乱讲	乱讲 🤥
乳液	乳液 🧴
乳酪	乳酪 🧀
乾杯	乾杯 🥂
亂噏	亂噏 🤥
亂講	亂講 🤥
五点	五点 🕔
五點	五點 🕔
亚军	亚军 🥈
亚洲	亚洲 🌏
亞洲	亞洲 🌏
亞軍	亞軍 🥈
亲吻	亲吻 💏
亲爱	亲爱 😚
仓鼠	仓鼠 🐹
仔細	仔細 🧐
仔细	仔细 🧐
他们	他们 👥
他們	他們 👥
企鵝	企鵝 🐧
企鹅	企鹅 🐧
休息	休息 😑
传真	传真 📠
伤了	伤了 🤕
伪装	伪装 🥸
估吓	估吓 😏
低温	低温 🥶
低溫	低溫 🥶
佛堂	佛堂 🛐
佛殿	佛殿 🛐
佛珠	佛珠 📿
作弄	作弄 😜
作曲	作曲 🎼
你好	你好 🙂
你妈	你妈 🤬
你妹	你妹 🤬
你媽	你媽 🤬
來信	來信 📨
便便	便便 💩
便当	便当 🥡
便条	便条 📝
便條	便條 📝
便當	便當 🥡
便餐	便餐 🥡
保齡	保齡 🎳
保龄	保龄 🎳
信号	信号 📶
信箱	信箱 📮
信號	信號 📶
倉鼠	倉鼠 🐹
倒带	倒带 ⏪
倒帶	倒帶 ⏪
倒楣	倒楣 😫
倒水	倒水 🫗
偷看	偷看 🫣
偷瞄	偷瞄 🫣
偷窥	偷窥 🫣
偷窺	偷窺 🫣
傍晚	傍晚 🌆
傳真	傳真 📠
傷了	傷了 🤕
傻冒	傻冒 🐷
傻屄	傻屄 🐷
傻逼	傻逼 🐷
僞裝	僞裝 🥸
僵尸	僵尸 🧟
元宵	元宵 🏮
充电	充电 🔋
充電	充電 🔋
光明	光明 🌞
光环	光环 🪐
光環	光環 🪐
光盘	光盘 💿
光盤	光盤 💿
光碟	光碟 💿
兌換	兌換 💱
兑换	兑换 💱
兔头	兔头 🐰
兔子	兔子 🐇
兔年	兔年 🐰
兔肉	兔肉 🐇
兔頭	兔頭 🐰
內褲	內褲 🩲
兩人	兩人 👥
兩點	兩點 🕑
八点	八点 🕗
八點	八點 🕗
公放	公放 📢
公牛	公牛 🐂
公羊	公羊 🐏
公車	公車 🚌
公车	公车 🚌
公雞	公雞 🐓
公鸡	公鸡 🐓
六点	六点 🕕
六點	六點 🕕
关机	关机 📴
养神	养神 😑
养鱼	养鱼 🐠
兽人	兽人 🧌
内裤	内裤 🩲
冒泡	冒泡 🫧
冰冷	冰冷 🥶
冰块	冰块 🧊
冰塊	冰塊 🧊
冰壶	冰壶 🥌
冰壺	冰壺 🥌
冰球	冰球 🏒
冲凉	冲凉 🚿
冷漠	冷漠 😶
冷笑	冷笑 😏
准确	准确 🎯
凋謝	凋謝 🥀
凋谢	凋谢 🥀
凋零	凋零 🥀
凤梨	凤梨 🍍
凭条	凭条 🧾
出丑	出丑 🤡
出国	出国 🚢
出國	出國 🚢
出汗	出汗 🥵
出海	出海 🚢
出游	出游 🚙
出色	出色 🤩
出警	出警 🚨
出遊	出遊 🚙
出醜	出醜 🤡
击中	击中 🎯
击剑	击剑 🤺
刀叉	刀叉 🍴
分手	分手 💔
初中	初中 🏫
別墅	別墅 🏡
別說	別說 🫢
別針	別針 🧷
刨冰	刨冰 🍧
利是	利是 🧧
别墅	别墅 🏡
别说	别说 🫢
别针	别针 🧷
刺猥	刺猥 🦔
剪輯	剪輯 🎬
剪辑	剪辑 🎬
加密	加密 🔐
加油	加油 😼
动车	动车 🚅
势利	势利 🤑
動車	動車 🚅
勝利	勝利 🔱
勢利	勢利 🤑
勾选	勾选 ✅
勾選	勾選 ✅
勿扰	勿扰 🔕
勿擾	勿擾 🔕
包穀	包穀 🌽
包米	包米 🌽
包裹	包裹 📦
包谷	包谷 🌽
匯兌	匯兌 💱
医院	医院 🏥
匿名	匿名 👤
十点	十点 🕙
十點	十點 🕙
半月	半月 🌓
华夫	华夫 🧇
单车	单车 🚲
南帽	南帽 🎩
南瓜	南瓜 🎃
卤煮	卤煮 🍢
卷动	卷动 📜
卷纸	卷纸 🧻
卷虾	卷虾 🍤
卷饼	卷饼 🌯
厉害	厉害 🤩
厲害	厲害 🤩
叉叉	叉叉 ❌
双人	双人 👥
双眼	双眼 👀
发火	发火 😡
发烧	发烧 🤒
发狂	发狂 🤯
发票	发票 🧾
取款	取款 🏧
取錢	取錢 🏧
取钱	取钱 🏧
口岸	口岸 🛂
口紅	口紅 💄
口红	口红 💄
口罩	口罩 😷
古堡	古堡 🏰
可乐	可乐 🥤
可怜	可怜 🥺
可憐	可憐 🥺
可樂	可樂 🥤
可真	可真 😓
台历	台历 📆
台球	台球 🎱
台风	台风 🌀
司南	司南 🧭
叻仔	叻仔 🤩
叻女	叻女 🤩
吃吧	吃吧 😋
吃面	吃面 🍜
吃饭	吃饭 🍚
吉他	吉他 🎸
吉士	吉士 🍮
吉它	吉它 🎸
吐司	吐司 🍞
吐舌	吐舌 😛
吸把	吸把 🪠
吹風	吹風 💨
吹风	吹风 💨
呜呜	呜呜 😖
呲牙	呲牙 😁
呼机	呼机 📟
呼機	呼機 📟
命中	命中 🎯
和服	和服 👘
咧嘴	咧嘴 😁
咬唇	咬唇 🫦
哀悼	哀悼 💮
哆嗦	哆嗦 🥶
哇喔	哇喔 😯
哈欠	哈欠 🥱
响铃	响铃 🔔
哦哦	哦哦 😀
哭了	哭了 😭
哭泣	哭泣 😭
唇印	唇印 💋
唇彩	唇彩 💄
唇膏	唇膏 💄
唱歌	唱歌 🎤
商场	商场 🏬
商場	商場 🏬
啊嚏	啊嚏 🤧
啤酒	啤酒 🍺
啥啊	啥啊 😲
喜愛	喜愛 😻
喜爱	喜爱 😻
喝采	喝采 🥳
喫吧	喫吧 😋
喫飯	喫飯 🍚
喫麵	喫麵 🍜
單車	單車 🚲
喷嚏	喷嚏 🤧
喷头	喷头 🚿
喷气	喷气 💨
嗚嗚	嗚嗚 😖
嗯哼	嗯哼 🫤
嗯嗯	嗯嗯 😀
嘟嘴	嘟嘴 😗
嘴唇	嘴唇 👄
噢噢	噢噢 😀
噴嚏	噴嚏 🤧
噴氣	噴氣 💨
噴頭	噴頭 🚿
四点	四点 🕓
四點	四點 🕓
困了	困了 😴
困觉	困觉 😴
围巾	围巾 🧣
围脖	围脖 🧣
国际	国际 🌐
图钉	图钉 📍
圆月	圆月 🌕
國際	國際 🌐
圍巾	圍巾 🧣
圍脖	圍脖 🧣
圓月	圓月 🌕
圖釘	圖釘 📍
土星	土星 🪐
土豆	土豆 🥔
土豪	土豪 💰
地瓜	地瓜 🍠
坐車	坐車 🚙
坐车	坐车 🚙
坚强	坚强 🥲
坟地	坟地 🪦
坟墓	坟墓 🪦
垒球	垒球 🥎
培根	培根 🥓
基因	基因 🧬
堅強	堅強 🥲
堡垒	堡垒 🏰
堡壘	堡壘 🏰
報紙	報紙 📰
報表	報表 📊
報警	報警 🚔
塔可	塔可 🌮
塞著	塞著 😧
墓碑	墓碑 🪦
墙砖	墙砖 🧱
增高	增高 🔼
墨魚	墨魚 🦑
墨鱼	墨鱼 🦑
墳地	墳地 🪦
墳墓	墳墓 🪦
壁虎	壁虎 🦎
壘球	壘球 🥎
壽司	壽司 🍣
复杂	复杂 🤔
外卖	外卖 🥡
外套	外套 🧥
外賣	外賣 🥡
夜晚	夜晚 🌃
夜景	夜景 🌃
夜色	夜色 🌃
大便	大便 💩
大厦	大厦 🏢
大哭	大哭 😭
大声	大声 🔊
大巴	大巴 🚍
大廈	大廈 🏢
大浪	大浪 🌊
大笑	大笑 🤣
大聲	大聲 🔊
大脑	大脑 🧠
大腦	大腦 🧠
大蒜	大蒜 🧄
大虾	大虾 🦐
大蝦	大蝦 🦐
大衣	大衣 🧥
大象	大象 🐘
大餅	大餅 🫓
大饼	大饼 🫓
天房	天房 🕋
天才	天才 😇
天線	天線 📡
天线	天线 📡
天鵝	天鵝 🦢
天鹅	天鹅 🦢
太热	太热 🫠
太熱	太熱 🫠
太阳	太阳 🌞
太阴	太阴 🌝
太陰	太陰 🌝
太陽	太陽 🌞
失恋	失恋 💔
失戀	失戀 💔
头名	头名 🥇
头盔	头盔 🪖
头骨	头骨 💀
奔馬	奔馬 🐎
奔马	奔马 🐎
奖杯	奖杯 🏆
奖牌	奖牌 🏅
奖章	奖章 🏅
奖项	奖项 🏅
套娃	套娃 🪆
套餐	套餐 🍱
女厕	女厕 🚺
女帽	女帽 👒
女廁	女廁 🚺
女性	女性 🚺
女装	女装 👚
女裝	女裝 👚
女鞋	女鞋 👠
奶牛	奶牛 🐄
奶瓶	奶瓶 🍼
奶茶	奶茶 🧋
奶酪	奶酪 🧀
奶黃	奶黃 🍮
奶黄	奶黄 🍮
奸笑	奸笑 😈
她们	她们 👥
她們	她們 👥
好㖿	好㖿 😁
好假	好假 😓
好劲	好劲 🤩
好勁	好勁 🤩
好叻	好叻 🤩
好味	好味 😋
好啊	好啊 😁
好奇	好奇 🤔
好热	好热 🫠
好熱	好熱 🫠
好玩	好玩 😆
好窘	好窘 😅
好萌	好萌 😊
好評	好評 💯
好评	好评 💯
如厕	如厕 🚾
如廁	如廁 🚾
妈屄	妈屄 🤬
妈的	妈的 🤬
妖物	妖物 👺
妖精	妖精 👺
婚礼	婚礼 💒
婚禮	婚禮 💒
媽屄	媽屄 🤬
媽的	媽的 🤬
孔雀	孔雀 🦚
字母	字母 🔤
季军	季军 🥉
季軍	季軍 🥉
学校	学校 🏫
孵化	孵化 🐣
學校	學校 🏫
安慰	安慰 🤗
安静	安静 🤫
安靜	安靜 🤫
完了	完了 😔
定食	定食 🍱
客气	客气 😎
客氣	客氣 😎
宫灯	宫灯 🏮
宮燈	宮燈 🏮
宾馆	宾馆 🏨
密码	密码 🔏
密碼	密碼 🔏
密鑰	密鑰 🔐
密钥	密钥 🔐
寒冷	寒冷 🥶
寺庙	寺庙 🛐
寺廟	寺廟 🛐
寺院	寺院 🛐
导弹	导弹 🚀
寿司	寿司 🍣
封口	封口 🤐
射箭	射箭 🏹
導彈	導彈 🚀
小丑	小丑 🤡
小包	小包 👝
小学	小学 🏫
小學	小學 🏫
小巴	小巴 🚐
小強	小強 🪳
小强	小强 🪳
小憩	小憩 😑
小气	小气 🙁
小氣	小氣 🙁
小票	小票 🧾
小說	小說 📕
小说	小说 📕
小醜	小醜 🤡
小魚	小魚 🐟
小鱼	小鱼 🐟
小鳥	小鳥 🐦
小鸟	小鸟 🐦
小鼠	小鼠 🐁
尺子	尺子 📏
屋企	屋企 🏠
属兔	属兔 🐰
属牛	属牛 🐮
属狗	属狗 🐶
属猪	属猪 🐷
属猫	属猫 🐱
属猴	属猴 🐵
属虎	属虎 🐯
属蛇	属蛇 🐍
属马	属马 🐴
属鸡	属鸡 🐔
属鼠	属鼠 🐭
属龙	属龙 🐲
屬兔	屬兔 🐰
屬牛	屬牛 🐮
屬狗	屬狗 🐶
屬猴	屬猴 🐵
屬虎	屬虎 🐯
屬蛇	屬蛇 🐍
屬豬	屬豬 🐷
屬貓	屬貓 🐱
屬雞	屬雞 🐔
屬馬	屬馬 🐴
屬鼠	屬鼠 🐭
屬龍	屬龍 🐲
山羊	山羊 🐐
山軌	山軌 🚞
山轨	山轨 🚞
岛国	岛国 🗾
岛屿	岛屿 🗾
岩石	岩石 🪨
島國	島國 🗾
島嶼	島嶼 🗾
工厂	工厂 🏭
工廠	工廠 🏭
巨魔	巨魔 🧌
巴士	巴士 🚌
布丁	布丁 🍮
帐本	帐本 📒
帐簿	帐簿 📒
帳本	帳本 📒
帳簿	帳簿 📒
干杯	干杯 🥂
幸运	幸运 🍀
幸運	幸運 🍀
幼稚	幼稚 😒
幼虫	幼虫 🐛
幼蟲	幼蟲 🐛
幽浮	幽浮 🛸
幽灵	幽灵 👻
幽靈	幽靈 👻
幽魂	幽魂 👻
庆典	庆典 🎊
废了	废了 😖
废话	废话 🙄
座椅	座椅 💺
廢了	廢了 😖
廢話	廢話 🙄
开车	开车 🚘
开锁	开锁 🔓
开饭	开饭 😋
异形	异形 👽
弹琴	弹琴 🎹
彈琴	彈琴 🎹
当然	当然 🙄
录像	录像 🎦
彩带	彩带 🎀
彩旗	彩旗 🚩
彩球	彩球 🎊
彩礼	彩礼 💝
彩禮	彩禮 💝
彩虹	彩虹 🌈
彩蛋	彩蛋 🎉
影相	影相 📸
影院	影院 🎬
得意	得意 😏
微笑	微笑 🙂
微風	微風 🍃
微风	微风 🍃
心动	心动 💓
心動	心動 💓
心烦	心烦 😫
心煩	心煩 😫
心田	心田 💟
心碎	心碎 💔
心脏	心脏 🫀
心臟	心臟 🫀
心跳	心跳 💓
心間	心間 💟
心间	心间 💟
快件	快件 📦
快退	快退 ⏪
念珠	念珠 📿
恳求	恳求 🥺
恳请	恳请 🥺
恶魔	恶魔 😈
悶著	悶著 🤐
情书	情书 💌
情書	情書 💌
惊艳	惊艳 🤩
惡魔	惡魔 😈
想吐	想吐 🤮
想想	想想 😕
想法	想法 💭
想要	想要 😻
意面	意面 🍝
意麵	意麵 🍝
愚鳩	愚鳩 🦤
愚鸠	愚鸠 🦤
愛意	愛意 💟
感人	感人 🥹
感冒	感冒 🤧
感动	感动 🥹
感動	感動 🥹
感恩	感恩 🥹
慶典	慶典 🎊
憑條	憑條 🧾
懇求	懇求 🥺
懇請	懇請 🥺
戆居	戆居 🐷
戇居	戇居 🐷
戏剧	戏剧 🎭
戏曲	戏曲 🎭
戒指	戒指 💍
戲劇	戲劇 🎭
戲曲	戲曲 🎭
房子	房子 🏠
手套	手套 🧤
手机	手机 📱
手杖	手杖 🩼
手機	手機 📱
手电	手电 🔦
手雷	手雷 💣
手電	手電 🔦
扑克	扑克 🃏
打勾	打勾 ✅
打叉	打叉 ❎
打圈	打圈 ➰
打旋	打旋 ➰
打机	打机 🎮
打機	打機 🎮
打牌	打牌 🃏
打的	打的 🚖
打結	打結 ➰
打结	打结 ➰
打車	打車 🚖
打车	打车 🚖
打針	打針 💉
打针	打针 💉
打靶	打靶 🎯
打鼔	打鼔 🥁
托运	托运 🛄
扫帚	扫帚 🧹
扯謊	扯謊 🤥
扯谎	扯谎 🤥
扳手	扳手 🔧
找换	找换 💱
找換	找換 💱
抓狂	抓狂 🤯
报纸	报纸 📰
报表	报表 📊
报警	报警 🚔
披萨	披萨 🍕
披薩	披薩 🍕
抱抱	抱抱 🤗
抽烟	抽烟 🚬
抽煙	抽煙 🚬
抽菸	抽菸 🚬
拉弓	拉弓 🏹
拉炮	拉炮 🎉
拍戏	拍戏 🎬
拍戲	拍戲 🎬
拐杖	拐杖 🩼
拖鞋	拖鞋 🩴
拜托	拜托 🥺
拜託	拜託 🥺
拳击	拳击 🥊
拳套	拳套 🥊
拳擊	拳擊 🥊
拼图	拼图 🧩
拼圖	拼圖 🧩
挂镜	挂镜 🪞
指数	指数 💹
指數	指數 💹
指环	指环 💍
指環	指環 💍
